,uscs,Description,Start Depth,Finish Depth,PROJECT NUMBER,DS
2,0,0,40,0,11193071,31-Oct-19
0,ML ,"See original log OW-1 (Arcadis 2/28/02) for soil description between 0 to 35 feet. Clayey SILT, grayish brown, wet, soft, low plasticity. ",0,40,11193071,31-Oct-19
1,0,0,40,0,11193071,31-Oct-19
