Table
,,,,,,GEOLOGIC DESCRIPTION ,,WELL ,DIAGRAM 
,,,,,,,44.5 ,,
0 ,,CPT-1-S-45 ,45 ,ML ,,Sandy SILT:brown; dry; stiff; low plasticity. ,45.5 ,,
,,,,,,,49.5 ,,
,,,50 ,ML ,,SILT: brown; moist; stiff; low plasticity. ,50.5 ,,
,,,,,,,54.5 ,,
,,,55 ,ML ,,SILT:brown; moist; stiff; low plasticity. ,55.5 ,,
,,,,,,,59.5 ,,
,,,60 ,MI ,,SILT: brown; moist; stiff; low plasticity. ,60.0 ,,
,,,,,,,,,Bottom of Boring @ 60 fbg 


