Table
,,,,,,GEOLOGIC DESCRIPTION ,,WELL ,DIAGRAM 
,,,,,,ASPHALT ,0.5 ,,
,,,5 ,SM ,,Silty SAND: light brown; damp; compact. ,8.0 ,,
,,,,,,,9.5 ,,
0 ,,CPT-1-S-10 ,10 ,ML ,,Sandy SILT: light brown; moist; stiff; low plasticity. ,10.5 ,,
,,,- ,,,,14.5 ,,
0 ,,CPT-1-S-15 ,15 ,ML ,,Sandy SILT: brown; moist; stiff; low plasticity. ,15.5 19.5 ,,
0 ,,CPT-1-S-20 ,20 ,,,Sandy SILT: light brown; moist; stiff; low plasticity. ,,,


